Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Vendor,Manufacturer Part Number,Config,Vendor Part Number,Manufacturer
CAP CER 0.1UF 25V X7R 0603,C_Small,C16 C23 C24 C25 C26 C27 C28 C29 C30 C31 C34 C35 C37 C39 C41 C42 C43 C45 C68 C69 C70 C71 C84 C85 C88 C89 C92 C93 C96 C97 C100 C101 C104 C105 C108 C109 C112 C113,0.1uF,C_0603,38,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf,Digi-Key,CGA3E2X7R1E104K080AA,load,445-5667-1-ND,TDK Corporation
CAP CER 0.1UF 50V 10% X7R 0402,C_Small,C12 C18 C82 C86 C90 C94 C98 C102 C106 C110,0.1uF,C_0402,10,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,Digi-Key,CGA2B1X7R1C104M050BC,load,445-12242-1-ND,TDK Corporation
CAP CER 0.47UF 16V X7R 0603,C_Small,C46 C47 C48 C49,0.47uF,C_0603,4,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf,Digi-Key,CGA3E1X7R1C474M080AC,load,445-12537-1-ND,TDK Corporation
CAP CER 1UF 16V X7R 0603,C_Small,C52 C53 C54 C55 C60 C61,1.0uF,C_0603,6,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf,Digi-Key,CGA3E1X7R1C105M080AC,load,445-12540-1-ND,TDK Corporation
"1000pF 50V Ceramic Capacitor X7R 0603 (1608 Metric) 0.063"" L x 0.031"" W (1.60mm x 0.80mm)",C_Small,C76 C78 C79 C81,1000pF,C_0603,4,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Digi-Key,CL10B102KB8NNNC,load,1276-1018-1-ND,"Samsung Electro-Mechanics America, Inc."
CAP CER 100PF 100V 5% NP0 0603,C_Small,C62 C63 C77 C80,100pF,C_0603,4,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf,Digi-Key,C1608C0G2A101J,load,445-2306-1-ND,TDK Corporation
"100µF 6.3V Ceramic Capacitor X6S 1210 (3225 Metric) 0.126"" L x 0.098"" W (3.20mm x 2.50mm)",C_Small,C2 C6 C8 C11,100uF,C_1210,4,http://www.samsungsem.com/kr/support/product-search/mlcc/CL32X107MQVNNNE.jsp,Digi-Key,CL32X107MQVNNNE,load,1276-3399-1-ND,"Samsung Electro-Mechanics America, Inc."
CAP CER 10000PF 100V X7R 0603,C_Small,C15,10nF,C_0402,1,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf,Digi-Key,C1608X7R2A103K080AA,load,445-1304-1-ND,TDK Corporation
CAP CER 10000PF 50V 5% X7R 0603,C_Small,C3 C20,10nF,C_0603,2,https://search.kemet.com/component-edge/download/datasheet/C0603C103J5RACTU.pdf,Digi-Key,C0603C103J5RACTU,load,399-1092-1-ND,Kemet
CAP CER 10UF 10V 10% X5R 0603,C_Small,C1 C5 C7 C10 C22 C44,10uF,C_0603,6,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,Digi-Key,C1608X5R1A106K,load,445-7486-1-ND,TDK Corporation
CAP TANT 10UF 10V 10% 1206,CP1_Small,C14,10uF,CP_Tantalum_Case-A_EIA-3216-18_Reflow,1,http://datasheets.avx.com/TPS.pdf,Digi-Key,TPSA106K010R0900,load,478-1751-1-ND,AVX Corporation
"120pF 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric) 0.063"" L x 0.031"" W (1.60mm x 0.80mm)",C_Small,C66 C67,120pF,C_0603,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Digi-Key,CL10C121JB8NCNC,load,1276-2180-1-ND,"Samsung Electro-Mechanics America, Inc."
CAP CER 22PF 50V C0G 0603,C_Small,C32 C33,22pF,C_0603,2,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf,Digi-Key,CGA3E2C0G1H220J080AA,load,445-5632-1-ND,TDK Corporation
CAP CER 22UF 10V X5R 0805,C_Small,C9 C17,22uF,C_0805,2,http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A226KPCLRNC.jsp,Digi-Key,CL21A226KPCLRNC,load,1276-6786-1-ND,"Samsung Electro-Mechanics America, Inc."
CAP CER 22UF 16V 20% X6S 1206,C_Small,C19,22uF,C_1206,1,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,Digi-Key,C3216X6S1C226M,load,445-8044-1-ND,TDK Corporation
CAP CER 3300PF 50V X7R 0603,C_Small,C4,3300pF,C_0603,1,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf,Digi-Key,CGA3E2X7R1H332K080AA,load,445-6921-1-ND,TDK Corporation
"390pF 50V Ceramic Capacitor X7R 0603 (1608 Metric) 0.063"" L x 0.031"" W (1.60mm x 0.80mm)",C_Small,C36,390pF,C_0603,1,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Digi-Key,CL10B391KB8NNNC,load,1276-2049-1-ND,"Samsung Electro-Mechanics America, Inc."
CGA2B2X7R1H472M050BA,C_Small,C83 C87 C91 C95 C99 C103 C107 C111,4700pF,C_0402,8,https://product.tdk.com/info/en/catalog/datasheets/mlcc_automotive_general_en.pdf,Digi-Key,CGA2B2X7R1H472M050BA,load,445-12278-1-ND,TDK Corporation
