AD1939YSTZ,,,,
,,,,
Pin,Type,Name,Side,style
1,gnd,AGND,left,
2,in,MCLKI/XI,left,clk
3,out,MCLKO/XO,left,clk
4,gnd,AGND,left,
5,pwr_in,AVDD,left,
6,out,OL3P,left,
7,out,OL3N,left,
8,out,OR3P,left,
9,out,OR3N,left,
10,out,OL4P,left,
11,out,OL4N,left,
12,out,OR4P,left,
13,out,OR4N,left,
14,in,~PD/RST,left,
15,passive,DSDATA4,left,
16,gnd,DGND,left,
17,pwr_in,DVDD,bottom,
18,passive,DSDATA3,bottom,
19,passive,DSDATA2,bottom,
20,in,DSDATA1,bottom,
21,io,DBCLK,bottom,clk
22,io,DLRCLK,bottom,clk
23,pwr_in,VSUPPLY,bottom,
24,in,VSENSE,bottom,
25,passive,VDRIVE,bottom,
26,passive,ASDATA2,bottom,
27,out,ASDATA1,bottom,
28,io,ABCLK,bottom,clk
29,io,ALRCLK,bottom,clk
30,in,CIN,bottom,
31,io,COUT,bottom,
32,pwr_in,DVDD,bottom,
33,gnd,DGND,right,
34,in,CCLK,right,
35,in,~CLATCH,right,
36,out,OL1P,right,
37,out,OL1N,right,
38,out,OR1P,right,
39,out,OR1N,right,
40,out,OL2P,right,
41,out,OL2N,right,
42,out,OR2P,right,
43,out,OR2N,right,
44,gnd,AGND,right,
45,pwr_in,AVDD,right,
46,gnd,AGND,right,
47,out,FILTR,right,
48,gnd,AGND,right,
49,nc,NC,top,
50,nc,NC,top,
51,pwr_in,AVDD,top,
52,out,CM,top,
53,in,ADC1LP,top,
54,in,ADC1LN,top,
55,in,ADC1RP,top,
56,in,ADC1RN,top,
57,in,ADC2LP,top,
58,in,ADC2LN,top,
59,in,ADC2RP,top,
60,in,ADC2RN,top,
61,out,LF,top,
62,pwr_in,AVDD,top,
63,nc,NC,top,
64,nc,NC,top,
